MRJD, smoothRV(m/s), error(m/s)
16256.714745, -1.17315, 0.9924 
16256.724988, -1.64127, 0.9712 
16256.735521, -1.60053, 0.9817 
16257.666019, -2.00556, 0.9523 
16257.676817, -1.99818, 1.0592 
16257.687350, -2.23565, 0.9638 
16257.697998, -2.24502, 0.9829 
16259.595451, -2.33469, 0.9620 
16259.604954, -2.71459, 0.9820 
16259.614051, -3.01097, 0.9772 
16259.622998, -3.11444, 1.0479 
16262.599734, -3.02355, 1.0188 
16262.609595, -3.11989, 1.1223 
16262.619734, -2.87061, 1.0709 
16262.629572, -3.02698, 1.0948 
16263.589144, -3.74560, 1.1444 
16263.599687, -4.09776, 1.1113 
16263.610451, -4.06356, 1.1081 
16263.620556, -4.05382, 1.0330 
16264.576806, -3.79019, 1.1654 
16264.587454, -3.70417, 1.2310 
16264.598079, -3.19401, 1.1862 
16264.608727, -2.79895, 1.2533 
16265.614583, -2.58145, 1.0110 
16265.625220, -2.07805, 1.0071 
16265.635729, -2.01044, 1.0713 
16265.646412, -1.49515, 1.1258 
16266.570405, -0.87013, 0.9910 
16266.581100, -0.34640, 1.0539 
16266.591713, -0.04525, 1.0201 
16266.602303, -0.65128, 1.1134 
16268.556076, -0.70824, 0.9747 
16268.564190, -1.21748, 0.9658 
16268.572373, -1.30661, 1.0159 
16268.580243, -1.40340, 0.9835 
16269.600602, -1.29060, 0.9617 
16269.610509, -1.02171, 0.9930 
16269.621111, -1.01492, 0.9545 
16270.539317, -0.40591, 1.0176 
16270.548148, -0.60382, 1.0587 
16270.557512, -0.55649, 1.0534 
16270.568171, -0.62342, 1.0666 
16271.592546, -0.16017, 0.9735 
16271.603183, +0.36692, 0.9203 
16271.613715, +0.37142, 0.9585 
16271.624444, +0.85125, 1.0078 
16276.531343, +0.99753, 0.8989 
16276.554063, +0.86049, 0.8575 
16276.590313, +1.25245, 0.8852 
16276.649444, +1.32737, 0.9100 
16277.516539, +1.61136, 0.9634 
16277.546678, +1.84384, 0.9309 
